,,,,,,,,,,,,,,,,,,,,,
Iterations per tickets _6/20/17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ticket Number,Assigned To (CSR),Client/Account Name,Severity,Service Offering,Additional Info 1,Additional Info 2,Category,Status,Last Status Modified Date,Date Created-Format,Date Last Modified-Format,Response Date-Format,Date Closed-Format,PER Phase Date-Format,Parent Ticket Number,Child Ticket Number,PER Phase,Production Implementation Tracking,Summary,Time Spent (min),Age(Days)
5377-13375056,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.02.39,2017-05-02-03.23.55,2017-06-19-05.02.39,2017-05-02-07.41.57,,2017-05-02-00.00.00,,5377-13378538,CTE Valiation/Testing,,"Orchids Paper Products Co 204 990 214 via Suntech TTS PER
IP:  No,  Egress:  No,  Class C:  No ",384,49
5377-13375056,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.02.39,2017-05-02-03.23.55,2017-06-19-05.02.39,2017-05-02-07.41.57,,2017-05-02-00.00.00,,5377-13382101,CTE Valiation/Testing,,"Orchids Paper Products Co 204 990 214 via Suntech TTS PER
IP:  No,  Egress:  No,  Class C:  No ",384,49
5377-13375310,User6,Customer93,Sev 4,B2B Services Integration Plus (Managed Services),MAY/NC2(1.5)F1(4) JUN/C1(2),MAY/Q1,S - PER - New Map,Waiting - Client,2017-06-19-07.41.34,2017-05-02-06.25.15,2017-06-19-07.41.34,2017-05-02-06.41.22,,,5377-13365720,,,,CDF PER : Morrison's EDI for ARYZTA Bakeries UK -Outbound Invoice Map - DDF_ARYTZA_GIL_MOVEX_MORRISON_O_INVOIC_D96A,1257,49
5377-13375921,User3,Customer12,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Other,Waiting - Client,2017-06-19-12.56.59,2017-05-02-10.23.10,2017-06-19-12.56.59,2017-05-02-10.27.52,,2017-05-02-00.00.00,,,Production Complete,JUN/E,PER - CORP CFM Equipment for Parts,65,49
5377-13376060,User25,Customer20,Sev 4,B2B Services (Hosted Translations),MAY/R1(1)N JUN/C2(6)M1(1)C3(7),,S - PER - New Map,Waiting - Client,2017-06-19-08.27.02,2017-05-02-11.03.15,2017-06-19-08.27.02,2017-05-15-10.19.26,,,5377-13375397,,,,EMEA - SGCIO: Request to Raise new PER: Hyundai DELINS- SGCIO_HYUNDAI_DELINS_XML_IDOC,1261,49
5377-13376202,User27,Customer92,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Other,Release - Monthly,2017-06-19-10.49.14,2017-05-02-11.38.49,2017-06-19-10.49.14,2017-05-02-11.47.37,,2017-05-10-00.00.00,,5377-13400435,Technical Review,,Nelson Electric 810/856/855,26,49
5377-13376202,User27,Customer92,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Other,Release - Monthly,2017-06-19-10.49.14,2017-05-02-11.38.49,2017-06-19-10.49.14,2017-05-02-11.47.37,,2017-05-10-00.00.00,,5377-13400495,Technical Review,,Nelson Electric 810/856/855,26,49
5377-13376202,User27,Customer92,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Other,Release - Monthly,2017-06-19-10.49.14,2017-05-02-11.38.49,2017-06-19-10.49.14,2017-05-02-11.47.37,,2017-05-10-00.00.00,,5377-13468438,Technical Review,,Nelson Electric 810/856/855,26,49
5377-13377826,User18,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-01.22.32,2017-05-02-21.13.59,2017-06-19-01.22.32,2017-05-08-08.14.45,,,,5377-13384790,CTE Technical Implementation,,Fw: PER for 111622-Shanghai Vekan Precision Industry CO LTD,549,49
5377-13377826,User18,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-01.22.32,2017-05-02-21.13.59,2017-06-19-01.22.32,2017-05-08-08.14.45,,,,5377-13384807,CTE Technical Implementation,,Fw: PER for 111622-Shanghai Vekan Precision Industry CO LTD,549,49
5377-13378418,User4,Customer81,Sev 4,B2B Services Integration Plus (Managed Services),MAY/NR3(4)C2(2),,S - PER - New Map,Assigned,2017-06-19-21.10.35,2017-05-03-05.13.26,2017-06-19-21.10.35,2017-05-04-11.25.50,2017-06-16-07.18.00,,5377-13368350,5377-13428521,,,PER New TP Fournie Outbound EDIFACT INVOIC D.96A - KRONO_FOURNIER_O_INVOIC_D96A,569,44
5377-13379829,User31,Customer83,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Closed,2017-06-19-12.14.07,2017-05-03-10.36.55,2017-06-19-12.14.07,2017-05-03-10.42.22,2017-06-19-12.14.07,2017-05-03-00.00.00,,,Technical Review,,PER New TP Setup Request DESIGNS DIRECT? Supplier Portal,49,47
5377-13381347,User22,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-22.35.55,2017-05-03-15.56.59,2017-06-19-22.35.55,2017-05-03-16.03.17,,2017-05-03-00.00.00,,5377-13384992,CTE Valiation/Testing,,Leggett_PER_Nucor_ColdFinish_NLMP_863_br0537.docx,257,48
5377-13383014,User30,Customer79,Sev 4,B2B Services Integration Plus (Managed Services),MAY/NA1(.75),,S - PER - New Map,Waiting - Client,2017-06-19-12.07.16,2017-05-04-10.28.07,2017-06-19-12.07.16,2017-05-08-03.08.06,,2017-05-04-00.00.00,5377-13377547,,CTE Technical Implementation,,PER for Bluehawk Maps - Crete new 855 map for TP Bluehawk : AOS_ASI_BLUEHAWK_O_855_4010,422,47
5377-13383049,User30,Customer79,Sev 4,B2B Services Integration Plus (Managed Services),MAY/N JUN/M1(1),,S - PER - New Map,Waiting - Client,2017-06-19-12.06.01,2017-05-04-10.37.05,2017-06-19-12.06.01,2017-05-08-02.32.31,,2017-05-04-00.00.00,5377-13377547,,CTE Technical Implementation,,PER for Bluehawk Maps -AOS_ASI_BLUEHAWK_O_856_4010,585,47
5377-13383779,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-03.23.54,2017-05-04-12.56.01,2017-06-19-03.23.54,2017-05-04-13.03.43,,2017-06-19-00.00.00,,5377-13385067,Production Validation,JUN/E,Variety Wholesale via Unyson_Onboard Project_PER,449,47
5377-13383779,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-03.23.54,2017-05-04-12.56.01,2017-06-19-03.23.54,2017-05-04-13.03.43,,2017-06-19-00.00.00,,5377-13470349,Production Validation,JUN/E,Variety Wholesale via Unyson_Onboard Project_PER,449,47
5377-13383920,User4,Customer99,Sev 3,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD0 
Partner Name - Target DC
Doc Type - 850",MAY/11/2017,S - PER - parent request,Waiting - Client,2017-06-19-02.22.33,2017-05-04-13.56.10,2017-06-19-02.22.33,2017-05-05-09.09.24,,2017-05-11-00.00.00,,5377-13389077,Production Complete,MAY/EML RC/JUN-S,PER - New map for Target Warehouse (Direct Ship) 850,462,47
5377-13383920,User4,Customer99,Sev 3,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD0 
Partner Name - Target DC
Doc Type - 850",MAY/11/2017,S - PER - parent request,Waiting - Client,2017-06-19-02.22.33,2017-05-04-13.56.10,2017-06-19-02.22.33,2017-05-05-09.09.24,,2017-05-11-00.00.00,,5377-13398343,Production Complete,MAY/EML RC/JUN-S,PER - New map for Target Warehouse (Direct Ship) 850,462,47
5377-13384807,User18,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Needs Reply,2017-06-19-18.35.17,2017-05-04-23.32.51,2017-06-19-18.35.17,2017-05-05-01.43.45,,,5377-13377826,,,,PER new AS2 setup for Shanghai Vekan,432,47
5377-13385067,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Closed,2017-06-19-03.22.46,2017-05-05-02.36.07,2017-06-19-03.22.46,2017-05-05-02.36.34,2017-05-05-02.36.34,,5377-13383779,,,,Variety Wholesale via Unyson_Onboard Project_PER,5,0
5377-13385398,User44,Customer74,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-11.06.44,2017-05-05-06.12.59,2017-06-19-11.06.44,2017-05-05-10.23.48,,2017-05-15-00.00.00,,5377-13387156,Technical Review,,PER  : New TP - Arrow GB & BE,165,46
5377-13385398,User44,Customer74,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-11.06.44,2017-05-05-06.12.59,2017-06-19-11.06.44,2017-05-05-10.23.48,,2017-05-15-00.00.00,,5377-13452553,Technical Review,,PER  : New TP - Arrow GB & BE,165,46
5377-13385398,User44,Customer74,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-11.06.44,2017-05-05-06.12.59,2017-06-19-11.06.44,2017-05-05-10.23.48,,2017-05-15-00.00.00,,5377-13452555,Technical Review,,PER  : New TP - Arrow GB & BE,165,46
5377-13385398,User44,Customer74,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-11.06.44,2017-05-05-06.12.59,2017-06-19-11.06.44,2017-05-05-10.23.48,,2017-05-15-00.00.00,,5377-13452557,Technical Review,,PER  : New TP - Arrow GB & BE,165,46
5377-13386631,User22,Customer69,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.34.07,2017-05-05-12.20.55,2017-06-19-12.34.07,2017-05-05-12.29.40,,2017-05-09-00.00.00,,5377-13393228,CTE Valiation/Testing,,PER - Levi EDI 214 via GT Nexus,361,46
5377-13386631,User22,Customer69,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.34.07,2017-05-05-12.20.55,2017-06-19-12.34.07,2017-05-05-12.29.40,,2017-05-09-00.00.00,,5377-13393336,CTE Valiation/Testing,,PER - Levi EDI 214 via GT Nexus,361,46
5377-13386631,User22,Customer69,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.34.07,2017-05-05-12.20.55,2017-06-19-12.34.07,2017-05-05-12.29.40,,2017-05-09-00.00.00,,5377-13412892,CTE Valiation/Testing,,PER - Levi EDI 214 via GT Nexus,361,46
5377-13386631,User22,Customer69,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.34.07,2017-05-05-12.20.55,2017-06-19-12.34.07,2017-05-05-12.29.40,,2017-05-09-00.00.00,,5377-13415554,CTE Valiation/Testing,,PER - Levi EDI 214 via GT Nexus,361,46
5377-13389164,User32,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.52.31,2017-05-08-03.40.49,2017-06-19-02.52.31,2017-05-11-13.20.10,2017-06-13-16.53.36,2017-05-16-00.00.00,,5377-13407223,CTE Technical Implementation,,CEVA PER LNA-2017-01869 Nike Airfreight EU - Integration map 214 FSU DEP,571,36
5377-13390395,User34,Customer47,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Other,Waiting - Client,2017-06-19-13.24.28,2017-05-08-10.52.06,2017-06-19-13.24.28,2017-05-08-11.00.44,,2017-06-14-00.00.00,,5377-13468932,Production Validation,JUN/R,"PER - Best Buy and Sears 852
Warranty ends 6/28/2017",657,43
5377-13391235,User31,Customer83,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Closed,2017-06-19-12.12.48,2017-05-08-13.25.18,2017-06-19-12.12.48,2017-05-08-13.33.17,2017-06-19-12.12.48,2017-05-08-00.00.00,,,Technical Review,,PER New TP Setup Request Artissimo ? EDI,72,42
5377-13391497,User4,Customer57,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.04.57,2017-05-08-15.08.19,2017-06-19-10.04.57,2017-05-08-15.10.34,,,,5377-13395500,CTE Valiation/Testing,,New BU2 TP Taulia,1230,43
5377-13391497,User4,Customer57,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.04.57,2017-05-08-15.08.19,2017-06-19-10.04.57,2017-05-08-15.10.34,,,,5377-13395504,CTE Valiation/Testing,,New BU2 TP Taulia,1230,43
5377-13391497,User4,Customer57,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.04.57,2017-05-08-15.08.19,2017-06-19-10.04.57,2017-05-08-15.10.34,,,,5377-13395510,CTE Valiation/Testing,,New BU2 TP Taulia,1230,43
5377-13391497,User4,Customer57,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.04.57,2017-05-08-15.08.19,2017-06-19-10.04.57,2017-05-08-15.10.34,,,,5377-13395514,CTE Valiation/Testing,,New BU2 TP Taulia,1230,43
5377-13391497,User4,Customer57,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.04.57,2017-05-08-15.08.19,2017-06-19-10.04.57,2017-05-08-15.10.34,,,,5377-13407859,CTE Valiation/Testing,,New BU2 TP Taulia,1230,43
5377-13391497,User4,Customer57,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.04.57,2017-05-08-15.08.19,2017-06-19-10.04.57,2017-05-08-15.10.34,,,,5377-13407860,CTE Valiation/Testing,,New BU2 TP Taulia,1230,43
5377-13393500,User42,Customer14,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-14.57.37,2017-05-09-09.01.03,2017-06-19-14.57.37,2017-05-09-09.03.39,2017-05-30-17.00.07,2017-05-30-00.00.00,,5377-13405638,Production Complete,MAY/EL RC/MAY-W,New PER for Meritor Morristown-Caterpillar ASN Setups ,263,21
5377-13396296,User22,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.49.07,2017-05-10-08.56.56,2017-06-19-10.49.07,2017-05-10-09.01.41,,2017-06-14-00.00.00,,5377-13398507,Production Validation,JUN/ECR,leggett_PER_GRAMMER_OFTP2_830_856.docx,563,41
5377-13396296,User22,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.49.07,2017-05-10-08.56.56,2017-06-19-10.49.07,2017-05-10-09.01.41,,2017-06-14-00.00.00,,5377-13398928,Production Validation,JUN/ECR,leggett_PER_GRAMMER_OFTP2_830_856.docx,563,41
5377-13396296,User22,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.49.07,2017-05-10-08.56.56,2017-06-19-10.49.07,2017-05-10-09.01.41,,2017-06-14-00.00.00,,5377-13398951,Production Validation,JUN/ECR,leggett_PER_GRAMMER_OFTP2_830_856.docx,563,41
5377-13396296,User22,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.49.07,2017-05-10-08.56.56,2017-06-19-10.49.07,2017-05-10-09.01.41,,2017-06-14-00.00.00,,5377-13468786,Production Validation,JUN/ECR,leggett_PER_GRAMMER_OFTP2_830_856.docx,563,41
5377-13397293,User43,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-13.17.57,2017-05-10-13.50.18,2017-06-19-13.17.57,2017-05-10-13.57.14,,2017-06-13-00.00.00,,5377-13398641,Production Validation,JUN?EM,Leggett_PER_TESLA_856_4010.docx,280,41
5377-13397293,User43,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-13.17.57,2017-05-10-13.50.18,2017-06-19-13.17.57,2017-05-10-13.57.14,,2017-06-13-00.00.00,,5377-13398650,Production Validation,JUN?EM,Leggett_PER_TESLA_856_4010.docx,280,41
5377-13397293,User43,Customer72,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-13.17.57,2017-05-10-13.50.18,2017-06-19-13.17.57,2017-05-10-13.57.14,,2017-06-13-00.00.00,,5377-13463794,Production Validation,JUN?EM,Leggett_PER_TESLA_856_4010.docx,280,41
5377-13397307,User43,Customer72,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.01.23,2017-05-10-13.55.18,2017-06-19-10.01.23,2017-05-10-14.02.03,,2017-06-12-00.00.00,,5377-13398438,Production Validation,JUN/E,Leggett_PER_TESLA_862_4010.docx,376,41
5377-13397307,User43,Customer72,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.01.23,2017-05-10-13.55.18,2017-06-19-10.01.23,2017-05-10-14.02.03,,2017-06-12-00.00.00,,5377-13461255,Production Validation,JUN/E,Leggett_PER_TESLA_862_4010.docx,376,41
5377-13398436,User20,Customer121,Sev 3,B2B Services Integration Plus (Managed Services),MAY/C3(3.5)F1(.75),MAY/Q1,S - PER - Map Change,Needs Reply,2017-06-19-15.00.18,2017-05-11-03.24.02,2017-06-19-15.00.18,2017-05-11-08.39.10,,,5377-13326818,,,,PER - New Trading Partner: Kaiser Permanente PHAR_TFS_810_4010_O/PHAR_KAISER_810_4010_O,747,40
5377-13398945,User28,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.48.36,2017-05-11-09.06.48,2017-06-19-05.48.36,2017-05-17-14.45.15,,2017-05-30-00.00.00,5377-13442848,5377-13421359,CTE Technical Implementation,,CEVA PER LNA-2017-02029 Sportmaster PO map - Sportmaster-&gt;IBM(AS2)-&gt;GTN,778,40
5377-13398945,User28,Customer13,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.48.36,2017-05-11-09.06.48,2017-06-19-05.48.36,2017-05-17-14.45.15,,2017-05-30-00.00.00,5377-13442848,5377-13434986,CTE Technical Implementation,,CEVA PER LNA-2017-02029 Sportmaster PO map - Sportmaster-&gt;IBM(AS2)-&gt;GTN,778,40
5377-13400140,User2,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-13.57.44,2017-05-11-15.36.03,2017-06-19-13.57.44,2017-05-11-15.37.42,,2017-05-12-00.00.00,,5377-13407808,CTE Technical Implementation,,AdvanSix LLC 858 to US Bank PER,271,40
5377-13400140,User2,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-13.57.44,2017-05-11-15.36.03,2017-06-19-13.57.44,2017-05-11-15.37.42,,2017-05-12-00.00.00,,5377-13407824,CTE Technical Implementation,,AdvanSix LLC 858 to US Bank PER,271,40
5377-13400209,User35,Customer58,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Waiting - Internal,2017-06-19-09.27.42,2017-05-11-16.10.06,2017-06-19-09.27.42,2017-05-11-16.21.40,,,,5377-13477599,CTE Technical Implementation,,PER PDC- Krackeler TP & 850 map,25,40
5377-13400249,User31,Customer83,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Closed,2017-06-19-12.13.31,2017-05-11-16.30.08,2017-06-19-12.13.31,2017-05-11-16.37.51,2017-06-19-12.13.31,2017-05-12-00.00.00,,,Technical Review,,PER New TP Setup Request Beatrice ? EDI,79,39
5377-13401488,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-06.20.16,2017-05-12-07.50.17,2017-06-19-06.20.16,2017-05-12-07.54.26,2017-06-19-06.19.52,2017-05-30-00.00.00,,5377-13407169,Production Complete,MAY/ELR RC/JUN-S,Coca Cola Bottler _Heartland 204 990 214 via BluJay PER,403,38
5377-13401488,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-06.20.16,2017-05-12-07.50.17,2017-06-19-06.20.16,2017-05-12-07.54.26,2017-06-19-06.19.52,2017-05-30-00.00.00,,5377-13418773,Production Complete,MAY/ELR RC/JUN-S,Coca Cola Bottler _Heartland 204 990 214 via BluJay PER,403,38
5377-13401488,User8,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-06.20.16,2017-05-12-07.50.17,2017-06-19-06.20.16,2017-05-12-07.54.26,2017-06-19-06.19.52,2017-05-30-00.00.00,,5377-13431005,Production Complete,MAY/ELR RC/JUN-S,Coca Cola Bottler _Heartland 204 990 214 via BluJay PER,403,38
5377-13402316,User34,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Work In Progress,2017-06-19-11.18.00,2017-05-12-14.05.17,2017-06-19-11.18.00,2017-05-12-15.28.17,,2017-05-23-00.00.00,,,CTE Valiation/Testing,,PER - JDA EDI Upgrade for JJ Glow  (Please Refer 13361636 created by J&J formore info),278,39
5377-13402435,User5,Customer104,Sev 4,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD3
Partner Name : AMAZON
Doc Type: 810/855/856/850",MAY/16/2017,S - PER - parent request,Waiting - Client,2017-06-19-06.12.02,2017-05-12-15.02.59,2017-06-19-06.12.02,2017-05-15-02.10.37,,2017-05-16-00.00.00,,5377-13405477,CTE Valiation/Testing,,"PER - New TP Amazon
Re: TP Connection to CTE - AMAZON",640,39
5377-13402435,User5,Customer104,Sev 4,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD3
Partner Name : AMAZON
Doc Type: 810/855/856/850",MAY/16/2017,S - PER - parent request,Waiting - Client,2017-06-19-06.12.02,2017-05-12-15.02.59,2017-06-19-06.12.02,2017-05-15-02.10.37,,2017-05-16-00.00.00,,5377-13407191,CTE Valiation/Testing,,"PER - New TP Amazon
Re: TP Connection to CTE - AMAZON",640,39
5377-13402435,User5,Customer104,Sev 4,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD3
Partner Name : AMAZON
Doc Type: 810/855/856/850",MAY/16/2017,S - PER - parent request,Waiting - Client,2017-06-19-06.12.02,2017-05-12-15.02.59,2017-06-19-06.12.02,2017-05-15-02.10.37,,2017-05-16-00.00.00,,5377-13407195,CTE Valiation/Testing,,"PER - New TP Amazon
Re: TP Connection to CTE - AMAZON",640,39
5377-13402435,User5,Customer104,Sev 4,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD3
Partner Name : AMAZON
Doc Type: 810/855/856/850",MAY/16/2017,S - PER - parent request,Waiting - Client,2017-06-19-06.12.02,2017-05-12-15.02.59,2017-06-19-06.12.02,2017-05-15-02.10.37,,2017-05-16-00.00.00,,5377-13407204,CTE Valiation/Testing,,"PER - New TP Amazon
Re: TP Connection to CTE - AMAZON",640,39
5377-13402435,User5,Customer104,Sev 4,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD3
Partner Name : AMAZON
Doc Type: 810/855/856/850",MAY/16/2017,S - PER - parent request,Waiting - Client,2017-06-19-06.12.02,2017-05-12-15.02.59,2017-06-19-06.12.02,2017-05-15-02.10.37,,2017-05-16-00.00.00,,5377-13407210,CTE Valiation/Testing,,"PER - New TP Amazon
Re: TP Connection to CTE - AMAZON",640,39
5377-13402435,User5,Customer104,Sev 4,B2B Services (Hosted Translations),"TP1/CM0/NM0/MC0/AD3
Partner Name : AMAZON
Doc Type: 810/855/856/850",MAY/16/2017,S - PER - parent request,Waiting - Client,2017-06-19-06.12.02,2017-05-12-15.02.59,2017-06-19-06.12.02,2017-05-15-02.10.37,,2017-05-16-00.00.00,,5377-13407216,CTE Valiation/Testing,,"PER - New TP Amazon
Re: TP Connection to CTE - AMAZON",640,39
5377-13404699,User1,Customer4,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-00.55.06,2017-05-15-04.15.46,2017-06-19-00.55.06,2017-05-15-04.39.21,2017-06-13-16.56.13,2017-05-26-00.00.00,,5377-13420321,CTE Technical Implementation,,CEVA PER LNA-2017-02070 Nike Airfreight EU - Integration map OB Vender Booking Confirmation,351,29
5377-13404780,User8,Customer107,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Waiting - Partner,2017-06-19-12.01.51,2017-05-15-05.06.35,2017-06-19-12.01.51,2017-05-15-05.13.28,,2017-05-15-00.00.00,5377-13170160,,CTE Valiation/Testing,,**EMEA**  Child Ticket for AS2 Communication - Cofely AS/2 change,500,36
5377-13406840,User31,Customer106,Sev 4,B2B Services Integration Plus (Managed Services),MAY/N,,S - PER - New Map,Needs Reply,2017-06-19-15.58.59,2017-05-15-18.23.55,2017-06-19-15.58.59,2017-05-16-07.40.13,,2017-05-17-00.00.00,,5377-13440818,Technical Review,,EDI 850 with Cricket Wireless (also known as Ingram Micro Mobility and/or Bright Point) -CAR_INGRAM_O_850_4010,352,36
5377-13407191,User5,Customer104,Sev 4,B2B Services (Hosted Translations), MAY/NC2(3.5)F1(3),MAY/Q1,S - PER - New Map,Waiting - Client,2017-06-19-09.57.00,2017-05-16-01.14.22,2017-06-19-09.57.00,2017-05-16-09.40.34,,,5377-13402435,,,,"PER CHILD TICKET FOR 850 map - New TP Amazon
Re: TP Connection to CTE - AMAZON TURT_AMAZONDS_I_850_4010",809,35
5377-13407195,User5,Customer104,Sev 4,B2B Services (Hosted Translations),MAY/NC1(1.5) JUN/C2(2),,S - PER - New Map,Needs Reply,2017-06-19-11.47.15,2017-05-16-01.18.55,2017-06-19-11.47.15,2017-05-16-10.40.52,,,5377-13402435,,,,"PER CHILD TICKET FOR 855 map - New TP Amazon
Re: TP Connection to CTE - AMAZON:TURT_AMAZONDS_O_855_4010",509,35
5377-13407204,User5,Customer104,Sev 4,B2B Services (Hosted Translations),MAY/NC1(5),,S - PER - New Map,Needs Reply,2017-06-19-13.46.58,2017-05-16-01.23.16,2017-06-19-13.46.58,2017-05-16-07.54.39,,,5377-13402435,,,,"PER CHILD TICKET FOR 856 MAP - New TP Amazon
Re: TP Connection to CTE - AMAZON - TURT_AMAZONDS_O_856_4010",515,35
5377-13407554,User8,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.04.44,2017-05-16-04.32.03,2017-06-19-02.04.44,2017-05-18-14.19.14,,2017-05-26-00.00.00,,5377-13428043,CTE Valiation/Testing,,CEVA PER LNA-2017-01936 Ecolab - ERP change to SAP - Hazard Material Interface,170,35
5377-13407554,User8,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.04.44,2017-05-16-04.32.03,2017-06-19-02.04.44,2017-05-18-14.19.14,,2017-05-26-00.00.00,,5377-13428173,CTE Valiation/Testing,,CEVA PER LNA-2017-01936 Ecolab - ERP change to SAP - Hazard Material Interface,170,35
5377-13407674,User18,Customer105,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-04.52.55,2017-05-16-05.45.54,2017-06-19-04.52.55,2017-05-16-05.58.25,,,,5377-13410176,CTE Technical Implementation,,PER new TP 'Agentur Goldmarie and Friends' with a 'csv file',350,35
5377-13407674,User18,Customer105,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-04.52.55,2017-05-16-05.45.54,2017-06-19-04.52.55,2017-05-16-05.58.25,,,,5377-13426739,CTE Technical Implementation,,PER new TP 'Agentur Goldmarie and Friends' with a 'csv file',350,35
